Market Group,Market Code,Description,Status,ID
ADHOC,ADHOC,CORPORATEADHOC,Active,"78063000001221390"
COMP,COMP,COMPLIMENTARY,Active,"78063000001221394"
CVGR,CVGR,CORPORATE CONTRACT,Active,"78063000001221398"
DAYUSE,DAYUSE,DAYUSE,Active,"78063000001221442"
GDS,GDS,GDS,Active,"78063000001221402"
HOUSEUSE,HOUSEUSE,HOUSEUSE,Active,"78063000001221406"
OTA,OTA,OTA,Active,"78063000001221410"
PKG,PKG,PACKAG ES,Active,"78063000001221414"
PROMO,PROMO,PROMOTIONS,Active,"78063000001221418"
RESCON,RESCON,RESIDENTIAL CONFERENCE,Active,"78063000001221422"
RESSOC,RESSOC,RESIDENTIAL SOCIAL,Active,"78063000001221426"
RESWED,RESWED,RESIDENTIALWEDDING,Active,"78063000001221430"
RETAIUFIT,RETAIL/FIT,RETAIL/FIT,Active,"78063000001868719"
TA,TA,TRAVELAGENTS,Active,"78063000001221434"
WEB,WEB,THE OTERRA WEB,Active,"78063000001221438"
z,ZZZZ,For PM dummy Code,Active,"78063000002113023"
